officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-14,2311,180.127,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-14,14673,181.1977,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-14,53466,181.9834,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-14,4550,182.7131,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-15,11883,178.9205,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-15,45688,179.6893,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-15,15479,180.433,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-15,1950,181.3374,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-11,3995,180.9738,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-11,12903,181.9676,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-11,46436,182.9039,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-11,11666,183.5221,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-12,3952,180.0479,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-12,16093,181.0148,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-12,29095,182.0983,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-12,25860,182.8204,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-13,14148,180.026,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-13,26758,180.9741,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-13,20553,181.6989,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-13,9958,182.9541,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-13,3583,183.6417,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-06,4809,176.8756,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-06,28725,177.8317,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-06,29382,178.7851,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-06,12084,179.5238,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-07,13294,179.4829,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-07,17356,180.2574,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-07,13894,181.4106,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-07,18770,182.3339,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-07,11686,183.14,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-08,4683,180.9766,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-08,29416,182.1003,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-08,40901,182.7448,Common Stock
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,1235,175.0895,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,2076,176.2875,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,6871,177.1508,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,5328,177.9366,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,10857,179.1525,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,1273,179.8424,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,441,175.0899,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,738,176.288,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,2463,177.1519,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,2009,177.9396,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,3883,179.147,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,466,179.8426,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,429,175.0881,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,722,176.2888,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,2424,177.1538,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,2136,177.944,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,3825,179.1389,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-08-04,464,179.8415,Common
HUANG JEN HSUN,President and CEO,S,SELL,2025-08-01,4067,171.5924,Common Stock
